DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-130,-131,0,0,302,278,278,277,1590185935747
-131,-129,0,-1,302,278,276,276,1590185938170
-130,-129,0,-1,302,277,276,275,1590185940607
-131,-129,0,-1,302,277,275,274,1590185943036
-130,-130,0,-1,301,277,276,275,1590185945466
-130,-131,0,0,301,278,278,277,1590185947897
-130,-129,0,-1,301,277,275,275,1590185950336
-130,-130,0,-1,301,278,277,275,1590185952718
-131,-131,0,0,301,278,277,277,1590185955146
-131,-131,0,0,301,278,278,277,1590185957576
-131,-130,0,-1,301,278,276,275,1590185960006
-131,-129,0,-1,301,277,275,274,1590185962436
-130,-129,0,-1,301,277,275,275,1590185964866
-130,-131,0,0,301,277,276,275,1590185967306
-131,-129,0,-1,301,277,275,274,1590185969736
-130,-129,0,-1,302,277,275,275,1590185972166
-130,-130,0,0,302,278,277,277,1590185974597
-130,-131,0,0,302,278,278,277,1590185977026
-131,-130,0,-1,302,278,276,276,1590185979457
-131,-129,0,-1,302,277,275,274,1590185981894
-131,-131,0,0,302,278,278,277,1590185984327
-131,-130,0,-1,301,277,275,276,1590185986757
-131,-129,0,-1,301,279,276,275,1590185989130
-131,-130,0,-1,301,277,276,275,1590185991556
-130,-129,0,-1,301,277,275,274,1590185993986
-129,-130,0,0,301,277,277,276,1590185996417
-130,-129,0,-1,302,277,275,275,1590185998856
-130,-129,0,-1,301,277,275,274,1590186001286
-129,-130,0,0,302,277,277,277,1590186003716
-131,-131,0,0,302,278,278,277,1590186006146
-132,-130,0,0,302,277,276,275,1590186008576
-131,-129,0,-1,302,279,275,275,1590186010950
-131,-130,0,-1,302,278,276,275,1590186013376
-131,-129,0,-1,302,277,275,274,1590186015806
-130,-129,0,-1,302,278,276,275,1590186018237
-130,-131,0,0,302,278,277,277,1590186020666
-131,-131,0,0,302,278,278,277,1590186023097
-131,-130,0,0,302,278,276,276,1590186025526
-132,-129,0,-1,302,277,275,275,1590186027956
-130,-129,0,-1,302,279,277,275,1590186030330
-132,-130,0,-1,301,279,276,275,1590186032757
-132,-129,0,-1,302,277,275,274,1590186035187
-130,-130,0,-1,302,277,276,276,1590186037616
-130,-130,0,-1,302,278,277,275,1590186040057
-132,-129,0,-1,301,277,275,274,1590186042486
-130,-129,0,-1,301,277,275,275,1590186044916
-130,-130,0,0,301,278,277,276,1590186047346
-130,-131,0,0,301,278,278,277,1590186049776
-131,-131,0,0,301,278,277,276,1590186052206
